iter	Accuracy	Logloss
0	0.7485740188	0.6578260049
1	0.7781135497	0.6175328718
2	0.7809843992	0.5896301616
3	0.7888792354	0.5686157948
4	0.7902013372	0.5524417493
5	0.7939409965	0.538060547
6	0.7945076115	0.5159718458
7	0.7982472708	0.5060962803
8	0.7995693726	0.4966368433
9	0.8015714124	0.4880980876
10	0.8031201602	0.4815633069
11	0.8036867752	0.4728158591
12	0.8021758018	0.462314727
13	0.8037623239	0.4558153261
14	0.8043289389	0.4512979317
15	0.8058776867	0.4469987639
16	0.8065576247	0.4427689363
17	0.8081063725	0.4386099832
18	0.8087485362	0.4354703765
19	0.8085974389	0.4317797103
20	0.8099195407	0.4275831499
21	0.8097684433	0.4253783845
22	0.8105617044	0.4213854504
23	0.8115060628	0.4188766258
24	0.8118838061	0.4165955616
25	0.8118838061	0.4144097571
26	0.8118460318	0.4118969506
27	0.8122237752	0.4092015748
28	0.8125637442	0.4079201697
29	0.8129037132	0.4069225625
30	0.8134703283	0.404897245
31	0.8132814566	0.3989912696
32	0.8138480716	0.3961350824
33	0.8143769123	0.3938424921
34	0.813999169	0.3928897075
35	0.8143769123	0.3913472247
36	0.8148679787	0.3904879941
37	0.814565784	0.3891080337
38	0.8149813017	0.387818283
39	0.8149435274	0.386793886
40	0.8149813017	0.3845085983
41	0.8150568504	0.3832981099
42	0.8154345937	0.382870861
43	0.8155101424	0.3821155897
44	0.8156990141	0.3813563157
45	0.8158501114	0.3807568826
46	0.8163789521	0.3801944146
47	0.8161145318	0.379851875
48	0.8164167265	0.3795153657
49	0.8167189212	0.3787004564
50	0.8163411778	0.3761934044
51	0.8166811468	0.3754091186
52	0.8170588902	0.3747982723
53	0.8170966645	0.3735162895
54	0.8174744079	0.372394691
55	0.8173988592	0.3720487254
56	0.8171722132	0.3714535461
57	0.8177766026	0.3709442269
58	0.8175877309	0.3705549814
59	0.8177388282	0.3698494154
60	0.8178143769	0.3692681175
61	0.8180032486	0.3686903251
62	0.8182676689	0.3683282203
63	0.8182298946	0.3680479003
64	0.8187965097	0.3676294448
65	0.8190231557	0.3672260111
66	0.81906093	0.3669303035
67	0.8188720583	0.3665975893
68	0.8193631247	0.3657851806
69	0.8192120273	0.3649948228
70	0.81906093	0.364570223
71	0.8189853813	0.3641275287
72	0.819514222	0.3637130212
73	0.8197030937	0.3630224511
74	0.8197786424	0.3625913582
75	0.8200430627	0.3620361055
76	0.8201941601	0.3617024834
77	0.8204963548	0.3610706443
78	0.8204208061	0.3607176407
79	0.8201563858	0.3604637396
80	0.8203074831	0.3586114782
81	0.8203830318	0.3581794063
82	0.8203830318	0.3578796531
83	0.8207230008	0.3571718739
84	0.8209874211	0.3567685132
85	0.8211762928	0.3565471075
86	0.8216673592	0.3558168608
87	0.8217051335	0.3554612472
88	0.8217051335	0.3551519699
89	0.8220073282	0.3549866233
90	0.8221961999	0.3546556298
91	0.8225361689	0.3543380531
92	0.8223472972	0.3541038335
93	0.8224606203	0.3537754125
94	0.8222717486	0.3532511818
95	0.8222717486	0.3530146225
96	0.8225739433	0.3520728385
97	0.8227250406	0.3518277513
98	0.8228383636	0.3514349817
99	0.8230650096	0.3511376089
100	0.8231783326	0.3509817561
101	0.8235183017	0.3507420053
102	0.823669399	0.3505037767
103	0.8237449477	0.350165046
104	0.8238204964	0.3498901832
105	0.823782722	0.3496967599
106	0.824122691	0.3492959457
107	0.8240471424	0.3490361043
108	0.8242360141	0.3487146878
109	0.8241982397	0.3485090626
110	0.8242737884	0.3483708206
111	0.8243871114	0.3480612578
112	0.8243871114	0.3478035728
113	0.8245382087	0.3476402689
114	0.8246515317	0.3474036399
115	0.8246137574	0.3472338835
116	0.8248781778	0.3470898064
117	0.8249915008	0.3468332583
118	0.8250670494	0.3467631224
119	0.8250670494	0.3466854323
120	0.8250670494	0.3457592453
121	0.8254447928	0.3456059015
122	0.8255203415	0.345236402
123	0.8257469875	0.3447351404
124	0.8258603105	0.3444369138
125	0.8257847618	0.3441696439
126	0.8257847618	0.3440944294
127	0.8258225362	0.3437220714
128	0.8256336645	0.3434442978
129	0.8257847618	0.3432762651
130	0.8260491822	0.342928514
131	0.8262380539	0.3427150828
132	0.8264269255	0.3425856638
133	0.8266157972	0.3422557133
134	0.8268802176	0.3421518592
135	0.8271068636	0.341853933
136	0.8271068636	0.341707586
137	0.8272201866	0.3414578011
138	0.8274090583	0.3411401373
139	0.8275601556	0.3408479807
140	0.8278623503	0.3406313109
141	0.827824576	0.3403452433
142	0.827937899	0.3400043171
143	0.828164545	0.3398357083
144	0.8280889963	0.3396796351
145	0.8283156424	0.3395368777
146	0.8284289654	0.3391590362
