iter	Passed	Remaining
0	79	39713
1	153	38269
2	225	37302
3	294	36505
4	364	36115
5	430	35440
6	499	35206
7	562	34578
8	629	34338
9	691	33892
10	749	33312
11	802	32643
12	857	32117
13	907	31518
14	963	31166
15	1020	30865
16	1081	30722
17	1137	30456
18	1191	30173
19	1244	29865
20	1298	29608
21	1348	29291
22	1400	29041
23	1458	28927
24	1531	29090
25	1589	28975
26	1654	28986
27	1705	28752
28	1754	28493
29	1811	28381
30	1871	28315
31	1953	28572
32	2018	28562
33	2087	28611
34	2159	28695
35	2208	28468
36	2256	28235
37	2308	28064
38	2361	27908
39	2420	27833
40	2479	27757
41	2555	27866
42	2620	27848
43	2686	27840
44	2745	27756
45	2801	27652
46	2858	27550
47	2910	27403
48	2962	27267
49	3013	27121
50	3061	26955
51	3120	26885
52	3190	26905
53	3244	26793
54	3297	26677
55	3347	26542
56	3400	26428
57	3445	26256
58	3512	26254
59	3574	26215
60	3647	26251
61	3705	26177
62	3773	26174
63	3836	26136
64	3885	26002
65	3936	25882
66	4002	25865
67	4072	25874
68	4164	26014
69	4232	26002
70	4290	25925
71	4341	25805
72	4422	25869
73	4508	25955
74	4581	25961
75	4643	25907
76	4705	25850
77	4795	25943
78	4955	26410
79	5044	26481
80	5096	26361
81	5148	26246
82	5196	26106
83	5245	25975
84	5293	25844
85	5340	25709
86	5392	25598
87	5440	25470
88	5485	25330
89	5529	25191
90	5574	25054
91	5618	24915
92	5661	24774
93	5707	24653
94	5753	24528
95	5803	24422
96	5859	24345
97	5912	24253
98	5963	24156
99	6023	24094
100	6075	24002
101	6133	23933
102	6188	23852
103	6242	23770
104	6304	23715
105	6358	23635
106	6408	23538
107	6454	23428
108	6508	23348
109	6586	23351
110	6652	23314
111	6723	23290
112	6784	23234
113	6844	23173
114	6927	23191
115	7001	23177
116	7069	23143
117	7136	23103
118	7205	23068
119	7274	23037
120	7353	23031
121	7422	22998
122	7484	22939
123	7528	22827
124	7593	22779
125	7660	22739
126	7731	22706
127	7796	22659
128	7866	22624
129	7936	22588
130	8003	22545
131	8067	22490
132	8150	22490
133	8213	22433
134	8279	22385
135	8344	22334
136	8396	22248
137	8466	22208
138	8527	22146
139	8604	22125
140	8670	22075
141	8742	22040
142	8831	22047
143	8924	22064
144	9033	22116
145	9128	22132
146	9210	22116
147	9276	22061
148	9352	22032
149	9413	21965
150	9464	21875
151	9514	21782
152	9562	21686
153	9623	21622
154	9676	21537
155	9722	21440
156	9768	21342
157	9814	21244
158	9858	21142
159	9899	21037
160	9947	20945
161	9990	20845
162	10042	20761
163	10128	20751
164	10189	20688
165	10246	20615
166	10319	20577
167	10394	20540
168	10484	20535
169	10553	20485
170	10633	20457
171	10718	20440
172	10788	20391
173	10865	20357
174	10937	20313
175	10999	20248
176	11074	20209
177	11169	20204
178	11249	20174
179	11318	20122
180	11378	20054
181	11529	20144
182	11607	20107
183	11668	20039
184	11718	19953
185	11773	19874
186	11825	19793
187	11886	19726
188	11945	19656
189	12004	19585
190	12062	19514
191	12127	19453
192	12177	19370
193	12229	19289
194	12283	19212
195	12343	19145
196	12400	19073
197	12459	19003
198	12520	18938
199	12582	18874
200	12642	18806
201	12698	18733
202	12751	18656
203	12801	18574
204	12866	18515
205	12920	18440
206	12977	18369
207	13034	18298
208	13090	18226
209	13141	18148
210	13196	18075
211	13248	17997
212	13298	17918
213	13353	17845
214	13406	17771
215	13460	17697
216	13510	17619
217	13564	17546
218	13622	17478
219	13680	17411
220	13730	17334
221	13790	17269
222	13848	17202
223	13902	17129
224	13953	17054
225	14006	16980
226	14062	16912
227	14119	16844
228	14175	16775
229	14233	16709
230	14289	16640
231	14346	16572
232	14400	16501
233	14453	16430
234	14512	16365
235	14569	16298
236	14627	16231
237	14681	16162
238	14734	16090
239	14789	16022
240	14842	15950
241	14893	15878
242	14946	15808
243	15000	15738
244	15053	15667
245	15138	15631
246	15199	15569
247	15275	15521
248	15328	15451
249	15388	15388
250	15448	15325
251	15528	15282
252	15591	15221
253	15665	15171
254	15740	15123
255	15806	15065
256	15870	15006
257	15959	14969
258	16043	14928
259	16142	14901
260	16227	14859
261	16315	14821
262	16385	14765
263	16470	14723
264	16555	14681
265	16639	14637
266	16736	14605
267	16824	14564
268	16921	14531
269	17001	14482
270	17079	14432
271	17140	14368
272	17218	14317
273	17281	14254
274	17336	14184
275	17423	14140
276	17495	14085
277	17566	14028
278	17639	13972
279	17696	13904
280	17758	13840
281	17818	13774
282	17874	13705
283	17964	13663
284	18055	13620
285	18169	13595
286	18262	13553
287	18332	13494
288	18401	13435
289	18499	13396
290	18598	13357
291	18671	13300
292	18734	13235
293	18808	13178
294	18871	13114
295	18935	13050
296	18992	12981
297	19055	12917
298	19125	12856
299	19338	12892
